code,short_url,google_shopping_url,query,product_id,catalog_id
y6eilMyOPI,https://bhezy.github.io/r/y6eilMyOPI/,"https://www.google.com/search?ibp=oshop&q=PG-275XL+Black+Ink+Cartridge+for+Canon+275+Black+Ink+High+Yield+275XL+PG-275XL+PG-275+XL+Works+for+Canon+PIXMA+TR4720+TR4700+TS3720+TS3500+TS3522+TS3520+TS3722+TR4722+TR4723(2Black+for+PG275XL)&prds=localAnnotatedOfferId:1,productid:3129898610707465844,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",PG-275XL Black Ink Cartridge for Canon 275 Black Ink High Yield 275XL PG-275XL PG-275 XL Works for Canon PIXMA TR4720 TR4700 TS3720 TS3500 TS3522 TS3520 TS3722 TR4722 TR4723(2Black for PG275XL),3129898610707465844,
YQ00wnGc8T,https://bhezy.github.io/r/YQ00wnGc8T/,"https://www.google.com/search?ibp=oshop&q=Fully+Loaded+Alpha+Nootropic+Pouches+(Wintergreen)+-+5+Cans+-+15+Pouches+per+can+-+Effective+Nootropic+Delivery%2C+Nic+Pouch+Replacement+-+Faster+Absorption%2C+Alpha+GPC%2C+L-Tyrosine%2C+GABA&prds=localAnnotatedOfferId:1,catalogid:7785445841216216147,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2","Fully Loaded Alpha Nootropic Pouches (Wintergreen) - 5 Cans - 15 Pouches per can - Effective Nootropic Delivery, Nic Pouch Replacement - Faster Absorption, Alpha GPC, L-Tyrosine, GABA",,7785445841216216147
TDpq1y1h1M,https://bhezy.github.io/r/TDpq1y1h1M/,"https://www.google.com/search?ibp=oshop&q=Wirefy+14%2F2+Low+Voltage+Landscape+Wire+100+ft+%7C+Low+Voltage+Landscape+Lighting+Wire+%7C+Pure+Copper+%7C+Outdoor+Direct+Burial+%7C+14-Gauge+2-Conductor+100+Feet&prds=localAnnotatedOfferId:1,productid:15226316710408669339,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",Wirefy 14/2 Low Voltage Landscape Wire 100 ft | Low Voltage Landscape Lighting Wire | Pure Copper | Outdoor Direct Burial | 14-Gauge 2-Conductor 100 Feet,15226316710408669339,
XC38Di0_gx,https://bhezy.github.io/r/XC38Di0_gx/,https://www.google.com/search?ibp=oshop&q=Herbal+Diffuser+Upgraded%2C+Improving+Breathing+and+Oral+Air+Freshening&prds=imageDocid%3A3909012066375470457%2Ccatalogid%3A1377998844786876683%2CheadlineOfferDocid%3A16796133746347672522%2Cgpcid%3A16902451130437546197%2Cmid%3A576462874595160871%2Cpvt%3Ahg%2Crds%3APC_16902451130437546197%7CPROD_PC_16902451130437546197&pvorigin=25&hl=en&gl=us&udm=28&shndl=37&shem=damc%2Cpvflt%2Cshrtsdl&source=sh%2Fx%2Fprdct%2Fhdr%2Fm1%2F1,"Herbal Diffuser Upgraded, Improving Breathing and Oral Air Freshening",,1377998844786876683
PljXMP59FA,https://bhezy.github.io/r/PljXMP59FA/,"https://www.google.com/search?ibp=oshop&q=PG-275XL+Black+Ink+Cartridge+Compatible+for+Canon+275+Ink+Cartridges+Black+High+Yield+275XL+PG-275XL+275+XL+for+Canon+PIXMA+TS3500+TS3522+TS3520+TS3720+TS3722+TR4700+TR4720+TR4722+TR4723+TR4725(Black)&prds=localAnnotatedOfferId:1,productid:3129898610707465844,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",PG-275XL Black Ink Cartridge Compatible for Canon 275 Ink Cartridges Black High Yield 275XL PG-275XL 275 XL for Canon PIXMA TS3500 TS3522 TS3520 TS3720 TS3722 TR4700 TR4720 TR4722 TR4723 TR4725(Black),3129898610707465844,
0TZi1gwo23,https://bhezy.github.io/r/0TZi1gwo23/,"https://www.google.com/search?ibp=oshop&q=Supergut+GLP1+Daily+Support+-+High+Fiber+GLP-1+Supplement+Powder+for+Women+%26+Men+-+Sugar-Free+Drink+Mix+for+Gut+Health+(20+Servings)&prds=localAnnotatedOfferId:1,productid:11325389148367490774,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",Supergut GLP1 Daily Support - High Fiber GLP-1 Supplement Powder for Women & Men - Sugar-Free Drink Mix for Gut Health (20 Servings),11325389148367490774,
KMWfyu9OvK,https://bhezy.github.io/r/KMWfyu9OvK/,"https://www.google.com/search?ibp=oshop&q=Fully+Loaded+Alpha+Fuel+Nootropic+Pouches+(Mint+Fuel)+-+5+Cans%2C+15+Pouches+per+can+-+Nootropic+Energy+Pouches+with+Caffeine%2C+Alpha+GPC%2C+Tyrosine%2C+Taurine%2C+Guarana+and+More.&prds=localAnnotatedOfferId:1,catalogid:13764724637488431534,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2","Fully Loaded Alpha Fuel Nootropic Pouches (Mint Fuel) - 5 Cans, 15 Pouches per can - Nootropic Energy Pouches with Caffeine, Alpha GPC, Tyrosine, Taurine, Guarana and More.",,13764724637488431534
Xww6lufY9s,https://bhezy.github.io/r/Xww6lufY9s/,"https://www.google.com/search?ibp=oshop&q=Fully+Loaded+Alpha+Fuel+Nootropic+Pouches+(Mint+Fuel)+-+5+Cans%2C+15+Pouches+per+can+-+Nootropic+Energy+Pouches+with+Caffeine%2C+Alpha+GPC%2C+Tyrosine%2C+Taurine%2C+Guarana+and+More.&prds=localAnnotatedOfferId:1,catalogid:7785445841216216147,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2","Fully Loaded Alpha Fuel Nootropic Pouches (Mint Fuel) - 5 Cans, 15 Pouches per can - Nootropic Energy Pouches with Caffeine, Alpha GPC, Tyrosine, Taurine, Guarana and More.",,7785445841216216147
HePfPgaM2n,https://bhezy.github.io/r/HePfPgaM2n/,https://www.google.com/search?ibp=oshop&q=Fully+Loaded+Alpha+Mushrooms+-+Adaptogen+Nootropic+Pouches+%285-Pack%2C+Mint%29+-+-+Lion%27s+Mane%2C+Cordyceps%2C+%26+Chaga+-+5+cans%2C+15+Pouches+per+can+-+Functional+Mushrooms+-+Made+in+The+USA&hl=en&gl=us&udm=28&prds=catalogid%3A7785445841216216147%2CheadlineOfferDocid%3A13099399053326586077%2CimageDocid%3A5800237709031101260%2Cgpcid%3A12410254327395670165%2Cpvt%3Ahg,"Fully Loaded Alpha Mushrooms - Adaptogen Nootropic Pouches (5-Pack, Mint) - - Lion's Mane, Cordyceps, & Chaga - 5 cans, 15 Pouches per can - Functional Mushrooms - Made in The USA",,7785445841216216147
gEDq_zVErc,https://bhezy.github.io/r/gEDq_zVErc/,"https://www.google.com/search?ibp=oshop&q=Patchology+Rejuvenating+Under+Eye+Gels+-+Hydrating+Eye+Mask+w%2FCaffeine%2C+Hydrolyzed+Collagen+%26+Centella+Asiatica-+Under+Eye+Patches+For+Dark+Circles+-+Minimize+Puffiness+%26+Wrinkle+Reducer+-+30+%E2%80%8BPairs&prds=localAnnotatedOfferId:1,catalogid:4426766394158052554,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2","Patchology Rejuvenating Under Eye Gels - Hydrating Eye Mask w/Caffeine, Hydrolyzed Collagen & Centella Asiatica- Under Eye Patches For Dark Circles - Minimize Puffiness & Wrinkle Reducer - 30 ​Pairs",,4426766394158052554
